area,perimeter,compactness,kernel_length,width,asymmetry_coefficient,kernel_groove_length,seed_class
17.62,15.98,0.8672,6.191,2.561,4.076,6.06,rosa
16.84,15.67,0.8622,5.998,2.484,4.675,5.877,rosa
17.26,15.72,0.8762,5.978,2.594,4.529,5.791,rosa
19.11,16.26,0.9081,6.154,2.92,2.926,6.079,rosa
16.82,15.51,0.8786,6.017,2.486,4.004,5.841,rosa
16.77,15.62,0.8628,5.927,2.428,4.92,5.795,rosa
17.22,15.91,0.8599,6.064,2.402,2.824,5.922,rosa
20.71,17.22,0.8762,6.579,2.814,4.451,6.451,rosa
18.94,16.49,0.875,6.445,2.629,5.064,6.262,rosa
17.12,15.55,0.8892,5.85,2.566,2.858,5.746,rosa
16.52,15.24,0.8822,5.875,2.467,5.522,5.88,rosa
18.72,16.19,0.8977,6.006,2.857,5.224,5.879,rosa
20.2,16.89,0.8894,6.285,2.864,5.172,6.187,rosa
19.57,16.74,0.8779,6.284,2.772,1.472,6.272,rosa
19.51,16.71,0.878,6.266,2.801,2.962,6.185,rosa
18.27,16.09,0.887,6.172,2.651,2.442,6.197,rosa
18.88,16.26,0.8969,6.084,2.764,1.649,6.109,rosa
18.98,16.66,0.859,6.549,2.67,2.691,6.498,rosa
21.18,17.21,0.8989,6.572,4.022,5.78,6.221,rosa
20.88,17.05,0.9021,6.45,4.022,5.016,6.221,rosa
20.1,16.99,0.8746,6.581,2.785,1.955,6.449,rosa
18.76,16.2,0.8984,6.172,2.796,2.12,6.052,rosa
18.81,16.29,0.8906,6.272,2.692,2.227,6.052,rosa
18.59,16.05,0.9066,6.027,2.86,6.001,5.877,rosa
18.26,16.52,0.8452,6.666,2.485,4.922,6.448,rosa
16.87,15.65,0.8648,6.129,2.462,2.696,5.967,rosa
19.21,16.59,0.8815,6.241,2.81,2.477,6.228,rosa
18.98,16.57,0.8687,6.449,2.552,2.144,6.452,rosa
18.17,16.26,0.8627,6.271,2.512,2.852,6.272,rosa
18.72,16.24,0.881,6.219,2.684,2.188,6.097,rosa
16.41,15.25,0.8866,5.718,2.525,4.217,5.618,rosa
17.99,15.86,0.8992,5.89,2.694,2.068,5.827,rosa
19.46,16.5,0.8985,6.112,2.892,4.208,6.009,rosa
19.18,16.62,0.8717,6.269,2.681,2.257,6.229,rosa
18.95,16.42,0.8829,6.248,2.755,2.268,6.148,rosa
18.82,16.29,0.8917,6.027,2.786,2.552,5.879,rosa
18.85,16.17,0.9056,6.152,2.806,2.842,6.2,rosa
17.62,15.86,0.88,6.022,2.572,2.747,5.929,rosa
19.94,16.92,0.8752,6.675,2.762,2.252,6.55,rosa
18.55,16.22,0.8865,6.152,2.674,1.728,5.894,rosa
18.45,16.12,0.8921,6.107,2.769,2.225,5.794,rosa
19.28,16.72,0.8716,6.202,2.791,2.678,5.965,rosa
19.12,16.21,0.9025,6.182,2.902,2.109,5.924,rosa
19.14,16.61,0.8722,6.259,2.727,6.682,6.052,rosa
20.97,17.25,0.8859,6.562,2.991,4.677,6.216,rosa
19.06,16.45,0.8854,6.416,2.719,2.248,6.162,rosa
18.96,16.2,0.9077,6.051,2.897,4.224,5.75,rosa
19.15,16.45,0.889,6.245,2.815,2.084,6.185,rosa
18.89,16.22,0.9008,6.227,2.769,2.629,5.966,rosa
20.02,16.9,0.8811,6.492,2.857,2.062,6.22,rosa
20.24,16.91,0.8897,6.215,2.962,5.901,6.188,rosa
18.14,16.12,0.8772,6.059,2.562,2.619,6.011,rosa
16.17,15.28,0.8588,5.762,2.287,4.286,5.702,rosa
